date,amount,category,description
05-01-2023,75.00,Einnahme,Nebenjob - Nachhilfe
08-01-2023,950.00,Ausgabe,Miete
10-01-2023,42.30,Ausgabe,Lebensmittel - Aldi
12-01-2023,19.90,Ausgabe,Internet/Handyvertrag
15-01-2023,45.00,Einnahme,Zinsen - Sparkonto
18-01-2023,28.50,Ausgabe,Café & Snacks
20-01-2023,120.00,Einnahme,Geschenk - Eltern
22-01-2023,35.40,Ausgabe,ÖPNV Monatskarte
25-01-2023,65.00,Ausgabe,Kleidung
28-01-2023,90.00,Ausgabe,Restaurant - Italienisch
01-02-2023,2800.00,Einnahme,Gehalt
04-02-2023,980.00,Ausgabe,Miete
07-02-2023,75.00,Einnahme,Verkauf - Bücher
09-02-2023,82.10,Ausgabe,Lebensmittel - Lidl
12-02-2023,49.00,Ausgabe,ÖPNV Monatskarte
15-02-2023,60.00,Ausgabe,Versicherung - Haftpflicht
18-02-2023,35.00,Einnahme,Zinsen - Tagesgeld
21-02-2023,33.00,Ausgabe,Streaming - Netflix
23-02-2023,50.00,Einnahme,Geschenk - Freunde
26-02-2023,40.00,Ausgabe,Bücher - Uni
01-03-2023,2800.00,Einnahme,Gehalt
03-03-2023,950.00,Ausgabe,Miete
05-03-2023,95.00,Ausgabe,Lebensmittel - Rewe
08-03-2023,45.00,Einnahme,Zinsen - Sparkonto
10-03-2023,38.20,Ausgabe,Haushalt - DM
12-03-2023,75.00,Einnahme,Nebenjob - Korrektur
15-03-2023,55.90,Ausgabe,Restaurant - Mittagessen
18-03-2023,29.99,Ausgabe,Fitnessstudio
21-03-2023,120.00,Einnahme,Erstattung - Steuer
23-03-2023,18.50,Ausgabe,Apotheke
26-03-2023,60.00,Ausgabe,Bahn - Ticket
29-03-2023,35.00,Einnahme,Zinsen - Tagesgeld
01-04-2023,2850.00,Einnahme,Gehalt
03-04-2023,950.00,Ausgabe,Miete
06-04-2023,86.50,Ausgabe,Lebensmittel - Aldi
09-04-2023,70.00,Einnahme,Geschenk - Familie
12-04-2023,42.00,Ausgabe,Stromrechnung
15-04-2023,95.00,Einnahme,Nebenjob - Übersetzung
18-04-2023,36.40,Ausgabe,Restaurant - Abendessen
20-04-2023,55.00,Einnahme,Verkauf - Kleidung
23-04-2023,29.00,Ausgabe,Café & Snacks
26-04-2023,80.00,Einnahme,Erstattung - Versicherung
29-04-2023,62.30,Ausgabe,Lebensmittel - Rewe
01-05-2023,2850.00,Einnahme,Gehalt
03-05-2023,950.00,Ausgabe,Miete
06-05-2023,35.00,Einnahme,Zinsen - Sparkonto
08-05-2023,76.00,Ausgabe,Lebensmittel - Lidl
12-05-2023,49.00,Ausgabe,ÖPNV Monatskarte
15-05-2023,120.00,Einnahme,Nebenjob - Nachhilfe
18-05-2023,40.00,Ausgabe,Bücher
21-05-2023,25.00,Ausgabe,Streaming - Spotify
24-05-2023,65.00,Einnahme,Geschenk - Freunde
27-05-2023,58.70,Ausgabe,Kleidung
30-05-2023,110.00,Einnahme,Verkauf - Möbel
01-06-2023,2850.00,Einnahme,Gehalt
03-06-2023,950.00,Ausgabe,Miete
05-06-2023,90.25,Ausgabe,Lebensmittel - Rewe
08-06-2023,35.00,Einnahme,Zinsen - Sparkonto
10-06-2023,42.00,Ausgabe,Stromrechnung
13-06-2023,55.00,Einnahme,Erstattung - Energie
16-06-2023,33.20,Ausgabe,Restaurant - Abendessen
19-06-2023,85.00,Einnahme,Nebenjob - Korrektur
22-06-2023,29.99,Ausgabe,Fitnessstudio
25-06-2023,45.00,Einnahme,Zinsen - Tagesgeld
28-06-2023,55.90,Ausgabe,Haushalt - DM
01-07-2023,2900.00,Einnahme,Gehalt
03-07-2023,970.00,Ausgabe,Miete
06-07-2023,100.00,Ausgabe,Lebensmittel - Aldi
08-07-2023,35.00,Einnahme,Zinsen - Sparkonto
11-07-2023,49.00,Ausgabe,ÖPNV Monatskarte
14-07-2023,85.00,Einnahme,Nebenjob - Nachhilfe
17-07-2023,72.30,Ausgabe,Restaurant - Geburtstag
20-07-2023,125.00,Einnahme,Geschenk - Eltern
23-07-2023,31.50,Ausgabe,Haushalt - DM
26-07-2023,42.00,Einnahme,Zinsen - Tagesgeld
29-07-2023,65.00,Ausgabe,Bücher - Uni
01-08-2023,2900.00,Einnahme,Gehalt
03-08-2023,970.00,Ausgabe,Miete
06-08-2023,82.75,Ausgabe,Lebensmittel - Lidl
09-08-2023,55.00,Einnahme,Verkauf - Kleidung
12-08-2023,49.00,Ausgabe,ÖPNV Monatskarte
15-08-2023,90.00,Einnahme,Erstattung - Versicherung
18-08-2023,215.00,Ausgabe,Bahn - Wochenendtrip
21-08-2023,35.00,Einnahme,Zinsen - Sparkonto
24-08-2023,29.99,Ausgabe,Cloud-Speicher
27-08-2023,120.00,Einnahme,Nebenjob - Übersetzung
30-08-2023,45.60,Ausgabe,Restaurant - Asia
01-09-2023,2900.00,Einnahme,Gehalt
03-09-2023,970.00,Ausgabe,Miete
05-09-2023,91.60,Ausgabe,Lebensmittel - Rewe
08-09-2023,35.00,Einnahme,Zinsen - Sparkonto
11-09-2023,49.00,Ausgabe,ÖPNV Monatskarte
14-09-2023,100.00,Einnahme,Geschenk - Freunde
17-09-2023,18.90,Ausgabe,Café & Snacks
20-09-2023,45.00,Einnahme,Erstattung - Energie
23-09-2023,27.80,Ausgabe,Café & Snacks
26-09-2023,80.00,Einnahme,Nebenjob - Korrektur
29-09-2023,32.40,Ausgabe,Bücher
01-10-2023,2950.00,Einnahme,Gehalt
03-10-2023,980.00,Ausgabe,Miete
05-10-2023,89.30,Ausgabe,Lebensmittel - Aldi
08-10-2023,45.00,Einnahme,Zinsen - Sparkonto
10-10-2023,49.00,Ausgabe,ÖPNV Monatskarte
13-10-2023,120.00,Einnahme,Erstattung - Steuer
16-10-2023,320.00,Ausgabe,Studiengebühren
19-10-2023,55.00,Einnahme,Geschenk - Eltern
22-10-2023,36.40,Ausgabe,Restaurant - Sushi
25-10-2023,75.00,Einnahme,Verkauf - Bücher
28-10-2023,58.00,Ausgabe,Haushalt - DM
01-11-2023,2950.00,Einnahme,Gehalt
03-11-2023,980.00,Ausgabe,Miete
06-11-2023,83.20,Ausgabe,Lebensmittel - Lidl
09-11-2023,60.00,Einnahme,Nebenjob - Nachhilfe
12-11-2023,49.00,Ausgabe,ÖPNV Monatskarte
15-11-2023,62.10,Ausgabe,Heizkosten Nachzahlung
18-11-2023,50.00,Einnahme,Zinsen - Sparkonto
21-11-2023,55.00,Ausgabe,Kleidung - Wintermütze
24-11-2023,95.00,Einnahme,Geschenk - Freunde
27-11-2023,22.90,Ausgabe,Apotheke
30-11-2023,75.00,Einnahme,Verkauf - Elektronik
03-12-2023,980.00,Ausgabe,Miete
06-12-2023,118.75,Ausgabe,Lebensmittel - Rewe
09-12-2023,65.00,Einnahme,Zinsen - Tagesgeld
12-12-2023,49.00,Ausgabe,ÖPNV Monatskarte
15-12-2023,120.00,Einnahme,Weihnachtsbonus - Nebenjob
18-12-2023,210.00,Ausgabe,Weihnachtsgeschenke
21-12-2023,45.00,Einnahme,Geschenk - Eltern
24-12-2023,35.00,Ausgabe,Weihnachtsmarkt
27-12-2023,75.00,Einnahme,Nebenjob - Korrektur
30-12-2023,75.00,Ausgabe,Silvester - Party
01-01-2024,3000.00,Einnahme,Gehalt
03-01-2024,990.00,Ausgabe,Miete
05-01-2024,95.40,Ausgabe,Lebensmittel - Aldi
08-01-2024,55.00,Einnahme,Zinsen - Sparkonto
10-01-2024,49.00,Ausgabe,ÖPNV Monatskarte
13-01-2024,29.99,Ausgabe,Fitnessstudio
16-01-2024,80.00,Einnahme,Nebenjob - Übersetzung
19-01-2024,18.50,Ausgabe,Apotheke
22-01-2024,45.00,Einnahme,Geschenk - Familie
25-01-2024,35.00,Ausgabe,Café & Snacks
28-01-2024,60.00,Einnahme,Verkauf - Kleidung
01-02-2024,3000.00,Einnahme,Gehalt
03-02-2024,990.00,Ausgabe,Miete
06-02-2024,88.10,Ausgabe,Lebensmittel - Lidl
09-02-2024,35.00,Einnahme,Zinsen - Tagesgeld
12-02-2024,49.00,Ausgabe,ÖPNV Monatskarte
15-02-2024,90.00,Einnahme,Nebenjob - Nachhilfe
18-02-2024,43.70,Ausgabe,Stromrechnung
21-02-2024,55.00,Einnahme,Erstattung - Energie
24-02-2024,26.90,Ausgabe,Café & Snacks
27-02-2024,60.00,Einnahme,Verkauf - Bücher
01-03-2024,3050.00,Einnahme,Gehalt
03-03-2024,990.00,Ausgabe,Miete
07-03-2024,102.60,Ausgabe,Lebensmittel - Rewe
10-03-2024,45.00,Einnahme,Zinsen - Sparkonto
13-03-2024,49.00,Ausgabe,ÖPNV Monatskarte
16-03-2024,59.90,Ausgabe,Versicherung - Hausrat
19-03-2024,90.00,Einnahme,Nebenjob - Übersetzung
22-03-2024,44.20,Ausgabe,Restaurant - Italienisch
25-03-2024,65.00,Einnahme,Geschenk - Eltern
28-03-2024,29.90,Ausgabe,Cloud-Speicher
01-04-2024,3050.00,Einnahme,Gehalt
03-04-2024,990.00,Ausgabe,Miete
05-04-2024,86.30,Ausgabe,Lebensmittel - Aldi
08-04-2024,75.00,Einnahme,Zinsen - Sparkonto
11-04-2024,49.00,Ausgabe,ÖPNV Monatskarte
14-04-2024,120.00,Ausgabe,Zahnarzt
17-04-2024,85.00,Einnahme,Nebenjob - Korrektur
20-04-2024,22.50,Ausgabe,Haushalt - Reinigungsmittel
23-04-2024,60.00,Einnahme,Verkauf - Möbel
26-04-2024,40.00,Ausgabe,Bücher - Fachliteratur
29-04-2024,95.00,Einnahme,Geschenk - Freunde
01-05-2024,3050.00,Einnahme,Gehalt
03-05-2024,1000.00,Ausgabe,Miete
06-05-2024,94.80,Ausgabe,Lebensmittel - Lidl
09-05-2024,35.00,Einnahme,Zinsen - Sparkonto
12-05-2024,49.00,Ausgabe,ÖPNV Monatskarte
15-05-2024,120.00,Einnahme,Nebenjob - Nachhilfe
18-05-2024,280.00,Ausgabe,Reise - Flug
21-05-2024,65.00,Einnahme,Erstattung - Versicherung
24-05-2024,310.00,Ausgabe,Hotel - Wochenende
27-05-2024,80.00,Einnahme,Verkauf - Kleidung
30-05-2024,33.50,Ausgabe,Café & Snacks
01-06-2024,3100.00,Einnahme,Gehalt
03-06-2024,1000.00,Ausgabe,Miete
06-06-2024,90.25,Ausgabe,Lebensmittel - Rewe
09-06-2024,35.00,Einnahme,Zinsen - Tagesgeld
12-06-2024,49.00,Ausgabe,ÖPNV Monatskarte
15-06-2024,39.99,Ausgabe,Streaming - Spotify
18-06-2024,55.00,Einnahme,Nebenjob - Übersetzung
21-06-2024,52.30,Ausgabe,Kleidung - T-Shirt
24-06-2024,45.00,Einnahme,Geschenk - Familie
27-06-2024,40.00,Ausgabe,Bücher - Roman
30-06-2024,95.00,Einnahme,Verkauf - Elektronik
01-07-2024,3100.00,Einnahme,Gehalt
03-07-2024,1000.00,Ausgabe,Miete
06-07-2024,96.10,Ausgabe,Lebensmittel - Aldi
09-07-2024,35.00,Einnahme,Zinsen - Sparkonto
12-07-2024,49.00,Ausgabe,ÖPNV Monatskarte
15-07-2024,125.65,Einnahme,Nebenjob - Nachhilfe
18-07-2024,85.40,Ausgabe,Lebensmittel - Rewe
21-07-2024,50.00,Einnahme,Geschenk - Eltern
24-07-2024,28.40,Ausgabe,Café & Snacks
27-07-2024,45.00,Einnahme,Erstattung - Energie
30-07-2024,60.00,Ausgabe,Kleidung
01-08-2024,3150.00,Einnahme,Gehalt
03-08-2024,1010.00,Ausgabe,Miete
06-08-2024,87.55,Ausgabe,Lebensmittel - Lidl
09-08-2024,40.00,Einnahme,Zinsen - Tagesgeld
12-08-2024,49.00,Ausgabe,ÖPNV Monatskarte
15-08-2024,90.00,Einnahme,Nebenjob - Übersetzung
18-08-2024,45.60,Ausgabe,Stromrechnung
21-08-2024,33.00,Ausgabe,Restaurant - Asia
24-08-2024,65.00,Einnahme,Verkauf - Bücher
27-08-2024,25.00,Ausgabe,Streaming - Spotify
30-08-2024,80.00,Einnahme,Geschenk - Freunde
01-09-2024,3150.00,Einnahme,Gehalt
03-09-2024,1010.00,Ausgabe,Miete
05-09-2024,99.80,Ausgabe,Lebensmittel - Rewe
08-09-2024,35.00,Einnahme,Zinsen - Sparkonto
12-09-2024,49.00,Ausgabe,ÖPNV Monatskarte
15-09-2024,65.00,Einnahme,Nebenjob - Nachhilfe
18-09-2024,45.20,Ausgabe,Stromrechnung
21-09-2024,22.90,Ausgabe,Bücher - Fachliteratur
24-09-2024,55.00,Einnahme,Erstattung - Versicherung
27-09-2024,19.99,Ausgabe,Cloud-Speicher
30-09-2024,95.00,Einnahme,Geschenk - Familie
01-10-2024,3200.00,Einnahme,Gehalt
03-10-2024,1010.00,Ausgabe,Miete
06-10-2024,91.45,Ausgabe,Lebensmittel - Aldi
09-10-2024,35.00,Einnahme,Zinsen - Tagesgeld
13-10-2024,49.00,Ausgabe,ÖPNV Monatskarte
16-10-2024,60.00,Ausgabe,Versicherung - Haftpflicht
19-10-2024,80.00,Einnahme,Nebenjob - Übersetzung
22-10-2024,41.20,Ausgabe,Restaurant - Pizza
25-10-2024,45.00,Einnahme,Verkauf - Kleidung
28-10-2024,30.00,Ausgabe,Café & Snacks
31-10-2024,70.00,Einnahme,Geschenk - Eltern
01-11-2024,3200.00,Einnahme,Gehalt
03-11-2024,1010.00,Ausgabe,Miete
06-11-2024,84.15,Ausgabe,Lebensmittel - Lidl
09-11-2024,35.00,Einnahme,Zinsen - Sparkonto
15-11-2024,49.00,Ausgabe,ÖPNV Monatskarte
18-11-2024,58.40,Ausgabe,Heizkosten Abschlag
21-11-2024,75.00,Einnahme,Verkauf - Bücher
24-11-2024,30.00,Ausgabe,Café & Snacks
27-11-2024,65.00,Einnahme,Geschenk - Freunde
30-11-2024,75.00,Ausgabe,Geschenk - Familie
